name,id,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
"Fort Lauderdale, FL US",CITY:US120012,3954,194,75.38,16.34,83.48,67.28,6710,0
"Jacksonville, FL US",CITY:US120018,2803,1215,69.25999999999999,16.34,77.54,61.16,4881,-7777
"Miami, FL US",CITY:US120025,4351,124,76.64,11.120000000000001,82.04,71.06,5710,0
"Orlando, FL US",CITY:US120028,3424,571,72.86,19.939999999999998,82.75999999999999,62.78,5073,0
"Tampa, FL US",CITY:US120041,3228,630,72.14,17.06,80.78,63.68,5262,0
"Atlanta, GA US",CITY:US130004,1336,3644,58.64,21.38,69.25999999999999,48.02,5304,4
"Augusta, GA US",CITY:US130005,2088,2470,63.86,25.880000000000003,76.82,51.08,4357,9
"Columbus, GA US",CITY:US130009,2141,2354,64.4,24.08,76.46,52.34,4962,4
"Macon, GA US",CITY:US130018,2010,2438,63.86,23.18,75.38,52.16,4496,0
"Savannah, GA US",CITY:US130022,2458,1811,66.74000000000001,21.38,77.36,56.120000000000005,4796,3
"Hilo, HI US",CITY:US150001,1028,153,67.46,15.440000000000001,75.2,59.540000000000006,24002,0
"Honolulu, HI US",CITY:US150002,3954,1,75.74000000000001,16.34,84.02,67.64,5869,0
"Boise, ID US",CITY:US160001,729,6172,50.18,24.439999999999998,62.24,37.94,1900,345
"Idaho Falls, ID US",CITY:US160003,415,7335,46.04,26.060000000000002,59.18,33.08,1425,369
"Pocatello, ID US",CITY:US160008,240,7640,44.78,28.04,58.82,30.56,1127,290
"Twin Falls, ID US",CITY:US160009,625,6347,49.28,23.54,61.16,37.58,1004,128
"Aurora, IL US",CITY:US170001,890,6291,50.18,17.779999999999998,59.18,41.36,3769,271
"Chicago, IL US",CITY:US170006,649,6929,47.84,18.14,56.84,38.660000000000004,3817,349
"Elgin, IL US",CITY:US170013,649,6929,47.84,18.14,56.84,38.660000000000004,3817,349
"Joliet, IL US",CITY:US170016,833,6236,50.18,19.76,60.08,40.28,3650,198
